FlyBase,GenetID,symbol,Affymetrix IDs (note: // was used to separate Affy probes which owned by one gene),chrom,star_chrom,end_chrom,bam_testis_RPKM,wt_testis_RPKM,bam_ovary_RPKM,wt_ovary_RPKM,male_carcass_RPKM,female_carcass_RPKM
FBgn0029514,CG9166,312,1631018_at,chr3L,1351139,1352853,8.65431,10.7812,9.43994,14.2395,8.38939,9.36238
FBgn0028550,CG11405,A3-3,1637792_at,chrX,1136773,1168682,10.6695,2.87558,28.6555,5.81675,11.8423,10.5397
FBgn0011710,CG1403,Sep1,1622999_at//1624328_a_at,chrX,21229303,21232714,57.3817,31.4231,67.6365,75.0797,27.5395,29.7038
FBgn0014029,CG4173,Sep2,1626425_at,chr3R,16411844,16414085,178.417,43.3863,160.009,110.291,47.2204,49.2713
FBgn0026361,CG2916,Sep5,1624997_s_at,chr2R,3847629,3849427,27.3953,3.84607,23.1157,14.7858,0.400511,0.343478
FBgn0000427,CG2175,dec-1,1641158_a_at,chrX,7761229,7767255,1.93294,1.47827,8.42648,95.3582,0.018017,0.0180266
FBgn0010339,CG8340,128up,1624318_at,chr2R,7924811,7926358,102.879,70.7084,74.3342,159.607,30.5305,39.0364
FBgn0010340,CG9852,140up,1634560_at,chr3R,9949940,9951252,16.0586,13.4525,12.9965,22.4221,12.9692,13.433
FBgn0020238,CG31196,14-3-3epsilon,1628694_a_at,chr3R,14068253,14074388,467.779,250.121,445.784,400.251,253.231,261.079
FBgn0004907,CG17870,14-3-3zeta,1625148_s_at,chr2R,5987184,5997192,92.7731,26.9999,191.437,112.681,215.837,224.104
FBgn0004364,CG8896,18w,1626509_at,chr2R,15999016,16004437,28.6456,6.56822,56.1627,28.5296,27.0333,24.5974
FBgn0028967,CG8947,26-29-p,1638201_at,chr3L,13987335,13989678,111.029,147.716,192.343,315.486,147.727,155.715
FBgn0053100,CG33100,4EHP,1625051_at,chr3R,19889511,19934671,30.6205,31.55,23.2541,44.6461,8.45638,9.09772
FBgn0004168,CG16720,5-HT1A,1638131_s_at,chr2R,14954664,15009463,0.163109,0.547813,2.73682,1.38721,3.63287,2.75178
FBgn0004572,CG15113,5-HT1B,1626129_at,chr2R,14910419,14916482,0.278934,0.475843,8.14303,0.27909,3.08874,2.12715
FBgn0013743,CG1056,5-HT2,1633198_a_at,chr3R,438597,459031,7.41922,2.5467,4.28051,0.610784,12.243,12.1077
FBgn0004573,CG12073,5-HT7,1632131_at,chr3R,26794864,26842569,0.411584,0.702136,0.265049,0.382399,1.65732,1.30287
FBgn0051107,CG31107,5PtaseI,1639679_at,chr3R,20867450,20868496,7.59682,1.73672,9.25542,12.2234,5.47727,4.03259
FBgn0053353,CR33353,5SrRNA:CR33353,#N/A,chr2R,15653649,15653783,0,0,0.758716,0,0,0
FBgn0053354,CR33354,5SrRNA:CR33354,#N/A,chr2R,15653280,15653414,0,0,0,0,0,0
FBgn0053355,CR33355,5SrRNA:CR33355,#N/A,chr2R,15652914,15653048,0,0,0,0,0,0
FBgn0053357,CR33357,5SrRNA:CR33357,#N/A,chr2R,15652153,15652287,0,0,0,0,0,0
FBgn0053358,CR33358,5SrRNA:CR33358,#N/A,chr2R,15651794,15651928,0,0,0,0,0,0
FBgn0053359,CR33359,5SrRNA:CR33359,#N/A,chr2R,15651418,15651552,0,0,0,0,0,0
FBgn0053360,CR33360,5SrRNA:CR33360,#N/A,chr2R,15651049,15651183,0,0,0,0,0,0
FBgn0053361,CR33361,5SrRNA:CR33361,#N/A,chr2R,15650680,15650814,0,0,0,0,0,0
FBgn0053362,CR33362,5SrRNA:CR33362,#N/A,chr2R,15650307,15650441,0,0,0,0,0,0
FBgn0053364,CR33364,5SrRNA:CR33364,#N/A,chr2R,15649573,15649707,0,0,0,0,0,0
FBgn0053365,CR33365,5SrRNA:CR33365,#N/A,chr2R,15649207,15649341,0,0,0,0,0,0
FBgn0053366,CR33366,5SrRNA:CR33366,#N/A,chr2R,15648848,15648982,0,0,0,0,0,0
FBgn0053367,CR33367,5SrRNA:CR33367,#N/A,chr2R,15648472,15648606,4.5444,0,0,0,0,0
FBgn0053368,CR33368,5SrRNA:CR33368,#N/A,chr2R,15648096,15648230,0,0,0,0,0,0
FBgn0053369,CR33369,5SrRNA:CR33369,#N/A,chr2R,15647720,15647854,0,0,0,0,0,0
FBgn0053370,CR33370,5SrRNA:CR33370,#N/A,chr2R,15647347,15647481,0,0,0,0,0,0
FBgn0053372,CR33372,5SrRNA:CR33372,#N/A,chr2R,15646606,15646740,0,0,0,0,0,0
FBgn0053373,CR33373,5SrRNA:CR33373,#N/A,chr2R,15646240,15646374,0,0,0,0,0,0
FBgn0053374,CR33374,5SrRNA:CR33374,#N/A,chr2R,15645867,15646001,0,0,0,0,0,0
FBgn0053375,CR33375,5SrRNA:CR33375,#N/A,chr2R,15645498,15645632,0,0,0,0,0,0
FBgn0053376,CR33376,5SrRNA:CR33376,#N/A,chr2R,15645129,15645263,0,0,0,0,0,0
FBgn0053377,CR33377,5SrRNA:CR33377,#N/A,chr2R,15644760,15644894,0,0,0,0,0,0
FBgn0053378,CR33378,5SrRNA:CR33378,#N/A,chr2R,15644384,15644518,0,0,0,0,0,0
FBgn0053379,CR33379,5SrRNA:CR33379,#N/A,chr2R,15644015,15644149,0,0,0,0,0,0
FBgn0053380,CR33380,5SrRNA:CR33380,#N/A,chr2R,15643646,15643780,0,0,0,0,0,0
FBgn0053381,CR33381,5SrRNA:CR33381,#N/A,chr2R,15643277,15643411,0,0,0,0,0,0
FBgn0053382,CR33382,5SrRNA:CR33382,#N/A,chr2R,15642908,15643042,0,0,0,0,0,0
FBgn0053383,CR33383,5SrRNA:CR33383,#N/A,chr2R,15642539,15642673,0,0,0,0,0,0
FBgn0053384,CR33384,5SrRNA:CR33384,#N/A,chr2R,15642170,15642304,0,0,0,0,0,0
FBgn0053385,CR33385,5SrRNA:CR33385,#N/A,chr2R,15641801,15641935,0,0,0,0,0,0
FBgn0053386,CR33386,5SrRNA:CR33386,#N/A,chr2R,15641432,15641566,0,0,0,0,0,0
FBgn0053387,CR33387,5SrRNA:CR33387,#N/A,chr2R,15641063,15641197,0,0,0,0,0,0
FBgn0053388,CR33388,5SrRNA:CR33388,#N/A,chr2R,15640694,15640828,0,0,0,0,0,0
FBgn0053389,CR33389,5SrRNA:CR33389,#N/A,chr2R,15640321,15640455,0,0,0,0,0,0
FBgn0053390,CR33390,5SrRNA:CR33390,#N/A,chr2R,15639962,15640096,0,0,0,0,0,0
